t=2026-05-22T20:15:46+0300 lvl=info msg="no configuration paths supplied"
t=2026-05-22T20:15:46+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\user\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-22T20:15:46+0300 lvl=info msg="open config file" path=C:\\Users\\user\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T20:15:46+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-22T20:15:46+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-22T20:15:46+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-22T20:15:47+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-22T20:15:47+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:4173 url=https://a613-45-15-128-171.ngrok-free.app
t=2026-05-22T20:15:56+0300 lvl=info msg=start pg=/api/tunnels id=383bb80cfe9fd721
t=2026-05-22T20:15:56+0300 lvl=info msg=end pg=/api/tunnels id=383bb80cfe9fd721 status=200 dur=1.0403ms
t=2026-05-22T20:16:09+0300 lvl=info msg=start pg=/api/tunnels id=9ad5d1b949cd147e
t=2026-05-22T20:16:09+0300 lvl=info msg=end pg=/api/tunnels id=9ad5d1b949cd147e status=200 dur=38.8875ms
t=2026-05-22T20:31:33+0300 lvl=info msg="join connections" obj=join id=da960d627abb l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:33+0300 lvl=info msg="join connections" obj=join id=c7642723840d l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:33+0300 lvl=info msg="join connections" obj=join id=b82417cfd7ba l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:33+0300 lvl=info msg="join connections" obj=join id=224e7a28f948 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:33+0300 lvl=info msg="join connections" obj=join id=aedf28703207 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:33+0300 lvl=info msg="join connections" obj=join id=f28f3d707638 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:39+0300 lvl=info msg="join connections" obj=join id=a26d5bb0d227 l=127.0.0.1:4173 r=45.15.128.188:35000
t=2026-05-22T20:31:40+0300 lvl=info msg="join connections" obj=join id=d27e9c300330 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:40+0300 lvl=info msg="join connections" obj=join id=f9927edeecb2 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:47+0300 lvl=info msg="join connections" obj=join id=994616f33e9a l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:47+0300 lvl=info msg="join connections" obj=join id=06e23dff6c92 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:31:52+0300 lvl=info msg="join connections" obj=join id=691d24189d19 l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:32:00+0300 lvl=info msg="join connections" obj=join id=2cc064ed6aed l=127.0.0.1:4173 r=45.15.128.188:36622
t=2026-05-22T20:33:01+0300 lvl=info msg="join connections" obj=join id=6546131b0722 l=127.0.0.1:4173 r=45.15.128.188:37476
t=2026-05-22T20:33:01+0300 lvl=info msg="join connections" obj=join id=0688b292a536 l=127.0.0.1:4173 r=45.15.128.188:51074
t=2026-05-22T20:33:01+0300 lvl=info msg="join connections" obj=join id=0e2321f6c222 l=127.0.0.1:4173 r=45.15.128.188:51074
t=2026-05-22T20:33:02+0300 lvl=info msg="join connections" obj=join id=081805d36503 l=127.0.0.1:4173 r=45.15.128.188:51074
